Date,AvgTemp(C),bike_rides_daily
2022-01-01,11.6,5157
2022-01-02,11.4,10746
2022-01-03,1.4,8293
2022-01-04,-2.7,9363
2022-01-05,3.2,8578
2022-01-06,4.9,11076
2022-01-07,0.7,4303
2022-01-08,-2.5,6157
2022-01-09,1.4,5342
2022-01-10,1.6,8678
2022-01-11,-5.4,6744
2022-01-12,-1.9,10172
2022-01-13,4.0,12563
2022-01-14,4.8,11335
2022-01-15,-6.7,5739
2022-01-16,-8.0,5164
2022-01-17,3.9,7300
2022-01-18,1.8,10788
2022-01-19,3.2,13539
2022-01-20,5.1,8510
2022-01-21,-6.0,8418
2022-01-22,-5.9,7936
2022-01-23,-0.7,8344
2022-01-24,-0.2,10341
2022-01-25,3.6,12706
2022-01-26,-2.3,10462
2022-01-27,-4.2,10831
2022-01-28,0.1,8772
2022-01-29,-4.8,716
2022-01-30,-7.1,2395
2022-01-31,-3.4,5532
2022-02-01,-1.7,7394
2022-02-02,2.3,10551
2022-02-03,6.4,6626
2022-02-04,5.8,5167
2022-02-05,-2.8,7286
2022-02-06,-4.8,7156
2022-02-07,0.5,7749
2022-02-08,4.1,12946
2022-02-09,2.8,13893
2022-02-10,6.3,15486
2022-02-11,8.6,16296
2022-02-12,11.8,17314
2022-02-13,2.8,5095
2022-02-14,-4.3,8510
2022-02-15,-4.7,10137
2022-02-16,1.6,13249
2022-02-17,11.6,16885
2022-02-18,9.9,11754
2022-02-19,0.1,7947
2022-02-20,-2.6,7884
2022-02-21,4.1,13093
2022-02-22,5.6,9134
2022-02-23,14.4,16586
2022-02-24,1.1,11256
2022-02-25,0.8,7627
2022-02-26,-1.1,10215
2022-02-27,2.4,10765
2022-02-28,0.8,11340
2022-03-01,2.6,14159
2022-03-02,7.7,16729
2022-03-03,5.6,13861
2022-03-04,-1.9,12439
2022-03-05,3.1,13014
2022-03-06,9.6,13606
2022-03-07,18.2,16939
2022-03-08,8.7,15766
2022-03-09,3.2,7123
2022-03-10,4.0,16488
2022-03-11,7.2,17387
2022-03-12,5.1,4877
2022-03-13,-2.3,7815
2022-03-14,5.3,15712
2022-03-15,11.6,19719
2022-03-16,13.6,20582
2022-03-17,8.2,12455
2022-03-18,13.9,22966
2022-03-19,13.1,19514
2022-03-20,14.3,16224
2022-03-21,10.4,18281
2022-03-22,10.7,18748
2022-03-23,7.2,14986
2022-03-24,5.7,11456
2022-03-25,9.6,18639
2022-03-26,10.4,15532
2022-03-27,5.9,11390
2022-03-28,-1.5,9625
2022-03-29,-1.2,11987
2022-03-30,2.6,15238
2022-03-31,9.9,18277
2022-04-01,13.1,17208
2022-04-02,7.2,18353
2022-04-03,7.0,9274
2022-04-04,7.6,17316
2022-04-05,9.7,18199
2022-04-06,8.6,12023
2022-04-07,9.1,8806
2022-04-08,12.8,21911
2022-04-09,11.4,16972
2022-04-10,8.6,14265
2022-04-11,8.8,18777
2022-04-12,13.4,23409
2022-04-13,15.4,24679
2022-04-14,16.3,22640
2022-04-15,15.7,25011
2022-04-16,15.7,20600
2022-04-17,8.3,13321
2022-04-18,7.9,14071
2022-04-19,7.6,14758
2022-04-20,9.4,21266
2022-04-21,10.6,19331
2022-04-22,14.6,24383
2022-04-23,13.3,23671
2022-04-24,12.8,20897
2022-04-25,10.4,18176
2022-04-26,11.5,18880
2022-04-27,11.6,20567
2022-04-28,8.2,19549
2022-04-29,10.4,21829
2022-04-30,12.9,25118
2022-05-01,13.6,23480
2022-05-02,12.1,13744
2022-05-03,12.4,23150
2022-05-04,12.0,20038
2022-05-05,17.2,27873
2022-05-06,14.8,8896
2022-05-07,10.0,5112
2022-05-08,10.4,15723
2022-05-09,13.5,23314
2022-05-10,15.4,26025
2022-05-11,16.1,27116
2022-05-12,17.1,27885
2022-05-13,16.0,24079
2022-05-14,17.9,20145
2022-05-15,18.8,27117
2022-05-16,20.4,19798
2022-05-17,19.7,29121
2022-05-18,17.8,29115
2022-05-19,15.5,22493
2022-05-20,15.4,21277
2022-05-21,21.2,28757
2022-05-22,27.8,25683
2022-05-23,21.0,25270
2022-05-24,17.4,26316
2022-05-25,16.2,28616
2022-05-26,16.4,27674
2022-05-27,20.2,22334
2022-05-28,20.4,20664
2022-05-29,20.7,25315
2022-05-30,23.3,25224
2022-05-31,28.3,25030
2022-06-01,17.8,21827
2022-06-02,20.3,24703
2022-06-03,19.5,30149
2022-06-04,21.9,31931
2022-06-05,20.0,29129
2022-06-06,22.2,27717
2022-06-07,21.8,25787
2022-06-08,23.7,30922
2022-06-09,24.4,28953
2022-06-10,21.8,30369
2022-06-11,21.8,28768
2022-06-12,20.5,22751
2022-06-13,24.2,27796
2022-06-14,23.9,30677
2022-06-15,23.3,32149
2022-06-16,20.3,25492
2022-06-17,25.2,29992
2022-06-18,21.7,27012
2022-06-19,17.3,26180
2022-06-20,20.5,28656
2022-06-21,22.1,24851
2022-06-22,19.1,23629
2022-06-23,19.2,29268
2022-06-24,21.9,31119
2022-06-25,25.8,29583
2022-06-26,27.0,26506
2022-06-27,24.3,20207
2022-06-28,22.4,30409
2022-06-29,23.9,30373
2022-06-30,25.4,29150
2022-07-01,28.1,25834
2022-07-02,28.7,22241
2022-07-03,26.9,22499
2022-07-04,25.6,23553
2022-07-05,25.9,22194
2022-07-06,26.0,28341
2022-07-07,24.2,28806
2022-07-08,23.5,24566
2022-07-09,24.7,30833
2022-07-10,23.4,28933
2022-07-11,24.0,27597
2022-07-12,25.8,27957
2022-07-13,28.9,30063
2022-07-14,26.6,30218
2022-07-15,26.1,29986
2022-07-16,24.3,27947
2022-07-17,25.7,27642
2022-07-18,26.2,20827
2022-07-19,28.2,29900
2022-07-20,31.3,29513
2022-07-21,29.8,27246
2022-07-22,30.9,27981
2022-07-23,30.3,26816
2022-07-24,31.1,24761
2022-07-25,29.8,24170
2022-07-26,25.9,30518
2022-07-27,25.5,31226
2022-07-28,26.7,29465
2022-07-29,28.2,28545
2022-07-30,26.7,30762
2022-07-31,26.3,28468
2022-08-01,23.1,24809
2022-08-02,26.4,30277
2022-08-03,27.6,31110
2022-08-04,29.1,29817
2022-08-05,29.3,28456
2022-08-06,29.6,30959
2022-08-07,29.6,23727
2022-08-08,30.3,26122
2022-08-09,31.3,27159
2022-08-10,27.2,31057
2022-08-11,26.6,28699
2022-08-12,25.6,31062
2022-08-13,23.1,33189
2022-08-14,24.0,27925
2022-08-15,24.3,27695
2022-08-16,23.6,30886
2022-08-17,23.6,29810
2022-08-18,24.1,30609
2022-08-19,26.3,30073
2022-08-20,27.9,31983
2022-08-21,25.3,27497
2022-08-22,24.5,21206
2022-08-23,25.9,29687
2022-08-24,26.9,30767
2022-08-25,28.1,29864
2022-08-26,27.4,27196
2022-08-27,27.8,29370
2022-08-28,24.6,26984
2022-08-29,26.0,26840
2022-08-30,26.8,28128
2022-08-31,25.6,31085
2022-09-01,25.9,30198
2022-09-02,21.7,29042
2022-09-03,22.8,27311
2022-09-04,25.3,24847
2022-09-05,25.8,23499
2022-09-06,23.3,10136
2022-09-07,20.8,28277
2022-09-08,21.8,33617
2022-09-09,21.9,33587
2022-09-10,23.6,33785
2022-09-11,23.2,17129
2022-09-12,22.4,28704
2022-09-13,24.7,30507
2022-09-14,22.9,33659
2022-09-15,21.8,33116
2022-09-16,19.6,32713
2022-09-17,20.8,32407
2022-09-18,23.4,29213
2022-09-19,25.6,25731
2022-09-20,23.2,32333
2022-09-21,22.0,33656
2022-09-22,21.8,25998
2022-09-23,15.1,28179
2022-09-24,14.5,27987
2022-09-25,19.2,21715
2022-09-26,19.4,26294
2022-09-27,19.7,29252
2022-09-28,17.2,30757
2022-09-29,16.6,30483
2022-09-30,14.5,28845
2022-10-01,14.8,14942
2022-10-02,15.2,12949
2022-10-03,11.5,12470
2022-10-04,10.3,12974
2022-10-05,13.8,17308
2022-10-06,17.6,31092
2022-10-07,20.3,31055
2022-10-08,13.9,25457
2022-10-09,12.3,23369
2022-10-10,15.8,24027
2022-10-11,17.0,28189
2022-10-12,17.9,29726
2022-10-13,18.7,18386
2022-10-14,15.7,28810
2022-10-15,16.2,29509
2022-10-16,16.1,25010
2022-10-17,16.6,22050
2022-10-18,12.6,25215
2022-10-19,10.0,24965
2022-10-20,11.1,26238
2022-10-21,13.4,27194
2022-10-22,14.4,27691
2022-10-23,14.7,16419
2022-10-24,14.1,16598
2022-10-25,16.9,24468
2022-10-26,18.3,28092
2022-10-27,16.9,28930
2022-10-28,11.3,26832
2022-10-29,10.8,26340
2022-10-30,12.5,23818
2022-10-31,14.4,23899
2022-11-01,16.9,25741
2022-11-02,17.6,29471
2022-11-03,15.7,29232
2022-11-04,15.2,29675
2022-11-05,19.4,30694
2022-11-06,19.8,25863
2022-11-07,21.3,26826
2022-11-08,13.2,23989
2022-11-09,8.7,24086
2022-11-10,12.6,27177
2022-11-11,16.4,13887
2022-11-12,19.7,28480
2022-11-13,12.9,17359
2022-11-14,6.3,18497
2022-11-15,4.9,16046
2022-11-16,7.3,19189
2022-11-17,5.7,19627
2022-11-18,4.5,18309
2022-11-19,2.8,14865
2022-11-20,2.7,11212
2022-11-21,1.1,14741
2022-11-22,6.6,18472
2022-11-23,9.4,18424
2022-11-24,8.1,9558
2022-11-25,10.0,10693
2022-11-26,9.3,15046
2022-11-27,10.7,8573
2022-11-28,12.2,18134
2022-11-29,5.4,18872
2022-11-30,8.4,13846
2022-12-01,5.7,18420
2022-12-02,3.4,18708
2022-12-03,10.6,11251
2022-12-04,7.0,15673
2022-12-05,5.4,18492
2022-12-06,9.3,13181
2022-12-07,13.8,18666
2022-12-08,11.6,22191
2022-12-09,5.3,19136
2022-12-10,2.2,15882
2022-12-11,3.4,8041
2022-12-12,1.6,15081
2022-12-13,0.3,16407
2022-12-14,1.7,16932
2022-12-15,2.7,11095
2022-12-16,6.2,7082
2022-12-17,5.0,14831
2022-12-18,3.1,11961
2022-12-19,1.7,13563
2022-12-20,1.9,14692
2022-12-21,1.0,14790
2022-12-22,3.8,9643
2022-12-23,7.5,6554
2022-12-24,-11.7,2874
2022-12-25,-6.9,2270
2022-12-26,-4.7,4825
2022-12-27,-0.7,8108
2022-12-28,3.4,11029
2022-12-29,6.4,13173
2022-12-30,9.3,15653
2022-12-31,8.2,7722
